ts_start,ts_end,rep,er,port,baud,timeout_s,size_bits,samples_requested,margin_samples,total_time_s,throughput_bps,exit_code,stdout_chars,stderr_chars,error_code
2026-04-25T19:59:02.066793+00:00,2026-04-25T19:59:02.480401+00:00,1,1,/dev/ttyACM0,115200,2.0,8,16,8,0.4135924380002507,19.3427134177805,0,2,0,OK
2026-04-25T19:59:02.480692+00:00,2026-04-25T19:59:02.892778+00:00,2,1,/dev/ttyACM0,115200,2.0,8,16,8,0.41206458700025905,19.414432233156134,0,2,0,OK
2026-04-25T19:59:02.893072+00:00,2026-04-25T19:59:03.308899+00:00,3,1,/dev/ttyACM0,115200,2.0,8,16,8,0.41580634699994334,19.239725554264062,0,2,0,OK
2026-04-25T19:59:03.309239+00:00,2026-04-25T19:59:03.721669+00:00,4,1,/dev/ttyACM0,115200,2.0,8,16,8,0.4124106569997821,19.398140819635092,0,2,0,OK
2026-04-25T19:59:03.721920+00:00,2026-04-25T19:59:04.126398+00:00,5,1,/dev/ttyACM0,115200,2.0,8,16,8,0.4044628849997025,19.779317946579656,0,2,0,OK
2026-04-25T19:59:04.126661+00:00,2026-04-25T19:59:04.540638+00:00,6,1,/dev/ttyACM0,115200,2.0,8,16,8,0.41396177100023124,19.325456021385925,0,2,0,OK
2026-04-25T19:59:04.540819+00:00,2026-04-25T19:59:04.956988+00:00,7,1,/dev/ttyACM0,115200,2.0,8,16,8,0.4161556990002282,19.223574299761335,0,2,0,OK
2026-04-25T19:59:04.957239+00:00,2026-04-25T19:59:05.362285+00:00,8,1,/dev/ttyACM0,115200,2.0,8,16,8,0.4050305490000028,19.751596564139522,0,2,0,OK
2026-04-25T19:59:05.362525+00:00,2026-04-25T19:59:05.773303+00:00,9,1,/dev/ttyACM0,115200,2.0,8,16,8,0.4107627759999559,19.47596147320043,0,2,0,OK
2026-04-25T19:59:05.773546+00:00,2026-04-25T19:59:06.181066+00:00,10,1,/dev/ttyACM0,115200,2.0,8,16,8,0.4075056280003082,19.631630707181177,0,2,0,OK
2026-04-25T19:59:09.431881+00:00,2026-04-25T19:59:11.057922+00:00,11,1,/dev/ttyACM0,115200,2.0,2048,2056,8,1.6260283639999216,1259.5106243793043,0,512,0,OK
2026-04-25T19:59:11.058176+00:00,2026-04-25T19:59:12.698173+00:00,12,1,/dev/ttyACM0,115200,2.0,2048,2056,8,1.6399804019997646,1248.7954109102177,0,512,0,OK
2026-04-25T19:59:12.698449+00:00,2026-04-25T19:59:14.325934+00:00,13,1,/dev/ttyACM0,115200,2.0,2048,2056,8,1.6274683970000297,1258.3961714864333,0,512,0,OK
2026-04-25T19:59:14.326114+00:00,2026-04-25T19:59:15.952477+00:00,14,1,/dev/ttyACM0,115200,2.0,2048,2056,8,1.626352606999717,1259.2595180070668,0,512,0,OK
2026-04-25T19:59:15.952733+00:00,2026-04-25T19:59:17.573155+00:00,15,1,/dev/ttyACM0,115200,2.0,2048,2056,8,1.62040469700014,1263.8817968075928,0,512,0,OK
2026-04-25T19:59:17.573402+00:00,2026-04-25T19:59:19.201498+00:00,16,1,/dev/ttyACM0,115200,2.0,2048,2056,8,1.6280807810003353,1257.9228401318364,0,512,0,OK
