er,size_bits,samples_requested,n_runs,ok_runs,success_rate,average_time_s,median_time_s,average_throughput_bps,median_throughput_bps,first_error
1,8,16,10,10,1.0,0.4111753337000664,0.41223762200002056,19.458254903708383,19.40628652639561,
1,2048,2056,10,10,1.0,1.6274428916000034,1.6269105019998733,1258.4372009348822,1258.82784474675,
1,4096,4104,10,10,1.0,3.038942130699934,3.0385077379999075,1347.8434273412327,1348.0301487422214,
1,8192,8200,10,0,0.0,,,,,MEMORY_ERROR
1,12288,12296,10,0,0.0,,,,,MEMORY_ERROR
1,16384,16392,10,0,0.0,,,,,TRACEBACK
3,8,11,10,10,1.0,0.41209954800006016,0.41154733150005995,19.414459058703827,19.43883462756681,
3,2048,691,10,10,1.0,1.3181625082000665,1.3188690599997699,1553.6887756144636,1552.8477212038897,
3,4096,1374,10,10,1.0,2.1220862888999363,2.122810033499718,1930.1847215663151,1929.5179198842302,
3,8192,2739,10,10,1.0,3.934222693999891,3.934478322000359,2082.242804298572,2082.1057687139973,
3,12288,4104,10,10,1.0,5.848529499400047,5.8479661285000475,2101.0418214346614,2101.243360942042,
3,16384,5470,10,10,1.0,7.774754503299937,7.764345516499816,2107.3695393569583,2110.158575670637,
3,19456,6494,10,0,0.0,,,,,MEMORY_ERROR
3,21504,7176,10,0,0.0,,,,,MEMORY_ERROR
3,24576,8200,10,0,0.0,,,,,MEMORY_ERROR
5,8,10,10,10,1.0,0.41300605599990375,0.41245292450003035,19.37071990373174,19.396154388886007,
5,2048,418,10,10,1.0,1.2176407728002232,1.2163780325004154,1681.9603707354672,1683.687098439786,
5,4096,828,10,10,1.0,2.0222030042999903,2.022858229999656,2025.519478565578,2024.8577457478568,
5,8192,1647,10,10,1.0,3.630814580100014,3.6317562520002866,2256.2461183979435,2255.65798874658,
5,12288,2466,10,10,1.0,5.3432728027001755,5.343644099500125,2299.7158048548563,2299.5543436902854,
5,16384,3285,10,10,1.0,6.964982588899966,6.955600223499914,2352.3834748588088,2355.5120377319145,
5,19456,3900,10,10,1.0,8.179148846699992,8.16005837900002,2378.7921291738467,2384.296677514827,
5,21504,4309,10,10,1.0,9.27764931260008,9.268417868500364,2317.8545761622113,2320.137093717495,
5,24576,4924,10,10,1.0,10.595986813499895,10.576033332499719,2319.4067688921336,2323.7445684881386,
5,27648,5538,10,10,1.0,11.892644224000104,11.883072543500475,2324.81299484685,2326.6709983957257,
