run_id,workload,concurrency,repeat,t_rel_s,in_flight,completed,success,failures
A_N1_r1,A,1,1,0.09486977899996418,0,0,0,0
A_N1_r1,A,1,1,0.29633100700016257,1,3,3,0
A_N1_r1,A,1,1,0.4971330719999969,1,6,6,0
A_N1_r1,A,1,1,0.6978315750000093,1,10,10,0
A_N1_r1,A,1,1,0.8985647460001474,1,13,13,0
A_N1_r1,A,1,1,1.0995906770001511,1,17,17,0
A_N1_r1,A,1,1,1.3006383730000834,1,20,20,0
A_N1_r1,A,1,1,1.501837253000076,1,24,24,0
A_N1_r1,A,1,1,1.7024173090001113,1,27,27,0
A_N1_r1,A,1,1,1.9040738500000316,1,31,31,0
A_N1_r1,A,1,1,2.105410319000157,1,34,34,0
A_N1_r1,A,1,1,2.3060940889999983,1,38,38,0
A_N1_r1,A,1,1,2.507031925000092,1,41,41,0
A_N1_r1,A,1,1,2.7081488890000855,1,45,45,0
A_N1_r1,A,1,1,2.910855035000168,1,49,49,0
A_N1_r1,A,1,1,3.111326423000037,1,52,52,0
A_N1_r1,A,1,1,3.3115132899999935,1,56,56,0
A_N1_r1,A,1,1,3.5117597840001054,1,59,59,0
A_N1_r1,A,1,1,3.712977887000079,1,63,63,0
A_N1_r1,A,1,1,3.913869214999977,1,66,66,0
A_N1_r1,A,1,1,4.114633266000055,1,70,70,0
A_N1_r1,A,1,1,4.315824360000079,1,74,74,0
A_N1_r1,A,1,1,4.516548356000158,1,78,78,0
A_N1_r1,A,1,1,4.717182686000115,1,81,81,0
A_N1_r1,A,1,1,4.917730849000009,1,85,85,0
A_N1_r1,A,1,1,5.118211362000011,1,89,89,0
A_N1_r1,A,1,1,5.319180116000098,1,93,93,0
A_N1_r1,A,1,1,5.521047700000054,1,97,97,0
A_N1_r1,A,1,1,5.723189367000032,1,101,101,0
A_N1_r1,A,1,1,5.923611327000117,1,105,105,0
A_N1_r1,A,1,1,6.1253291110001555,1,108,108,0
A_N1_r1,A,1,1,6.326866886000062,1,112,112,0
A_N1_r1,A,1,1,6.527341722000074,1,115,115,0
A_N1_r1,A,1,1,6.727692307000098,1,119,119,0
A_N1_r1,A,1,1,6.927988516000141,1,123,123,0
A_N1_r1,A,1,1,7.129999261999956,1,126,126,0
A_N1_r1,A,1,1,7.331136831000094,1,130,130,0
A_N1_r1,A,1,1,7.532104109000102,1,134,134,0
A_N1_r1,A,1,1,7.732847371000162,1,137,137,0
A_N1_r1,A,1,1,7.9332082490000175,1,141,141,0
A_N1_r1,A,1,1,8.13390633300014,1,145,145,0
A_N1_r1,A,1,1,8.334920576000059,1,149,149,0
A_N1_r1,A,1,1,8.535998562000032,1,152,152,0
A_N1_r1,A,1,1,8.736436673000071,1,156,156,0
A_N1_r1,A,1,1,8.937398432999998,1,160,160,0
A_N1_r1,A,1,1,9.139035218000117,1,164,164,0
A_N1_r1,A,1,1,9.33987371100011,1,167,167,0
A_N1_r1,A,1,1,9.540679140000066,1,171,171,0
A_N1_r1,A,1,1,9.741810171999987,1,175,175,0
A_N1_r1,A,1,1,9.942662453000139,1,179,179,0
A_N1_r1,A,1,1,10.143287912000005,1,182,182,0
A_N1_r1,A,1,1,10.344822613000133,1,186,186,0
A_N1_r1,A,1,1,10.545508974000086,1,189,189,0
A_N1_r1,A,1,1,10.74580747899995,1,193,193,0
A_N1_r1,A,1,1,10.946260605000134,1,197,197,0
A_N1_r1,A,1,1,11.146714935000091,1,200,200,0
A_N1_r1,A,1,1,11.347032491000164,1,204,204,0
A_N1_r1,A,1,1,11.548823644000095,1,208,208,0
A_N1_r1,A,1,1,11.749596204,1,211,211,0
A_N1_r1,A,1,1,11.950245676000122,1,215,215,0
A_N1_r1,A,1,1,12.151752937000083,1,218,218,0
A_N1_r1,A,1,1,12.352967821999982,1,222,222,0
A_N1_r1,A,1,1,12.553830761999961,1,225,225,0
