requests_total,requests_success,latency_p50_ms,latency_p95_ms,latency_p99_ms,throughput_req_s,throughput_effective_bits_s,exhaustion_keys_s,http_4xx_pct,http_5xx_pct,timeout_pct,duplicates,duplicate_ids,fairness_jain,waste_ratio,backlog_peak,backlog_mean,bits_returned_total,keys_consumed_total,runtime_s,run_id,workload,concurrency,repeat,duration_s
1092,1092,54.69768350008053,59.86914045007552,65.1133956400667,18.2,37273.6,18.2,0.0,0.0,0.0,0,[],1.0,0.0,1,0.9933333333333333,2236416,1092,60.0,A_N1_r1,A,1,1,60.0
1054,1054,54.95853300021736,68.92747314997223,97.26451416010605,17.560311377206812,35963.51770051955,17.560311377206812,0.0,0.0,0.0,0,[],1.0,0.0,1,0.9933333333333333,2158592,1054,60.02171472700002,A_N1_r2,A,1,2,60.0
1098,1098,54.540801000030115,59.470764250022505,62.29508692012585,18.3,37478.4,18.3,0.0,0.0,0.0,0,[],1.0,0.0,1,0.9933333333333333,2248704,1098,60.0,A_N1_r3,A,1,3,60.0
1096,1096,54.721291000078054,59.318336999922394,62.77208185008476,18.264644984163272,37405.99292756638,18.264644984163272,0.0,0.0,0.0,0,[],1.0,0.0,1,0.9933333333333333,2244608,1096,60.00664129799998,A_N1_r4,A,1,4,60.0
1108,1108,54.233884000041144,58.99611714999082,61.59148298992478,18.45880054910543,37803.62352456792,18.45880054910543,0.0,0.0,0.0,0,[],1.0,0.0,1,0.9933333333333333,2269184,1108,60.02556867400017,A_N1_r5,A,1,5,60.0
1093,1093,54.811428999983036,59.8046080000131,62.80884939993484,18.203207258603964,37280.16846562092,18.203207258603964,0.0,0.0,0.0,0,[],1.0,0.0,1,0.9933333333333333,2238464,1093,60.04436385700001,A_N1_r6,A,1,6,60.0
1092,1092,55.01951600012944,59.20659135003916,61.935074370016984,18.195087639596057,37263.539485892725,18.195087639596057,0.0,0.0,0.0,0,[],1.0,0.0,1,0.9933333333333333,2236416,1092,60.01619896700004,A_N1_r7,A,1,7,60.0
1084,1084,55.343881499993586,60.30092620007963,64.13907525008656,18.06182746298277,36990.62264418871,18.06182746298277,0.0,0.0,0.0,0,[],1.0,0.0,1,0.9933333333333333,2220032,1084,60.01607546200012,A_N1_r8,A,1,8,60.0
1095,1095,54.50709900014772,60.007986799837454,66.45680352003178,18.240173358317524,37355.87503783429,18.240173358317524,0.0,0.0,0.0,0,[],1.0,0.0,1,0.9933333333333333,2242560,1095,60.032324172000244,A_N1_r9,A,1,9,60.0
898,898,63.52409200007969,99.51308785014135,107.00667861031432,14.957514952276252,30632.990622261765,14.957514952276252,0.0,0.0,0.0,0,[],1.0,0.0,1,0.9933333333333333,1839104,898,60.03671083500012,A_N1_r10,A,1,10,60.0
2085,2085,55.89314199960427,72.94148700029837,98.7878990400528,34.72263857527043,71111.96380215384,34.72263857527043,0.0,0.0,0.0,0,[],0.999997929718069,0.0,2,1.9866666666666666,4270080,2085,60.04727997500004,A_N2_r1,A,2,1,60.0
2223,2223,53.29056299979129,64.40351760033991,71.74684834002625,37.0421864940445,75862.39793980314,37.0421864940445,0.0,0.0,0.0,0,[],0.9999997976417165,0.0,2,1.9866666666666666,4552704,2223,60.012656119999974,A_N2_r2,A,2,2,60.0
2239,2239,53.03365200006738,65.25605849974454,72.86424737998458,37.29091435116148,76371.79259117872,37.29091435116148,0.0,0.0,0.0,0,[],0.9999998005235061,0.0,2,1.9866666666666666,4585472,2239,60.04143472900023,A_N2_r3,A,2,3,60.0
2144,2144,55.40397100003247,65.38978075022897,70.81423008006826,35.703935806915425,73121.66053256279,35.703935806915425,0.0,0.0,0.0,0,[],0.9999991298180885,0.0,2,1.9866666666666666,4390912,2144,60.049402161000216,A_N2_r4,A,2,4,60.0
2124,2124,56.00655050011483,66.45163969990335,72.09675301026891,35.37191450239199,72441.68090089879,35.37191450239199,0.0,0.0,0.0,0,[],0.9999964534228016,0.0,2,1.9866666666666666,4349952,2124,60.04764033499987,A_N2_r5,A,2,5,60.0
2189,2189,54.37421600026937,65.04462619996048,70.72819795997927,36.456023617479815,74661.93636859866,36.456023617479815,0.0,0.0,0.0,0,[],0.9999997913067578,0.0,2,1.9866666666666666,4483072,2189,60.044946837000225,A_N2_r6,A,2,6,60.0
2197,2197,54.34758100000181,64.00267539993365,68.59929696000108,36.59666718091829,74949.97438652065,36.59666718091829,0.0,0.0,0.0,0,[],0.9999948206215503,0.0,2,1.9866666666666666,4499456,2197,60.032789028000025,A_N2_r7,A,2,7,60.0
2221,2221,53.639957000086724,63.33976799987795,68.93483339990784,36.98749078352067,75750.38112465033,36.98749078352067,0.0,0.0,0.0,0,[],0.9999981754969237,0.0,2,1.9866666666666666,4548608,2221,60.047328244000255,A_N2_r8,A,2,8,60.0
2239,2239,53.17848899994715,62.80066429985709,69.43081800005527,37.29727509972095,76384.8194042285,37.29727509972095,0.0,0.0,0.0,0,[],0.9999902257453867,0.0,2,1.9866666666666666,4585472,2239,60.03119514800028,A_N2_r9,A,2,9,60.0
2190,2190,54.23309799994058,65.15066689994455,71.886118709831,36.482239652248715,74715.62680780537,36.482239652248715,0.0,0.0,0.0,0,[],0.9999991659897284,0.0,2,1.9866666666666666,4485120,2190,60.02920930499977,A_N2_r10,A,2,10,60.0
4295,4295,54.73209100000531,69.12452920014401,78.76778213990295,71.54377815322528,146521.65765780536,71.54377815322528,0.0,0.0,0.0,0,[],0.999994199640356,0.0,4,3.973333333333333,8796160,4295,60.03317284700006,A_N4_r1,A,4,1,60.0
4314,4314,54.71231700016688,68.1230667500131,78.16935696986545,71.84344898352495,147135.3835182591,71.84344898352495,0.0,0.0,0.0,0,[],0.9999731343065449,0.0,4,3.973333333333333,8835072,4314,60.04722853699968,A_N4_r2,A,4,2,60.0
4274,4274,55.314181499852566,67.87914539982012,78.05749854998339,71.18264241190155,145782.05165957438,71.18264241190155,0.0,0.0,0.0,0,[],0.9999958395265994,0.0,4,3.973333333333333,8753152,4274,60.04272748499989,A_N4_r3,A,4,3,60.0
4279,4279,55.12624199991478,68.1530189998739,78.39490340000351,71.25883444912029,145938.09295179835,71.25883444912029,0.0,0.0,0.0,0,[],0.9999941561822021,0.0,4,3.973333333333333,8763392,4279,60.04869477700004,A_N4_r4,A,4,4,60.0
4285,4285,55.07768799998303,68.17451820024871,77.10241687984308,71.34150646695016,146107.40524431394,71.34150646695016,0.0,0.0,0.0,0,[],0.9999941725360666,0.0,4,3.973333333333333,8775680,4285,60.06321161699998,A_N4_r5,A,4,5,60.0
4299,4299,54.90925000003699,68.25709399986408,78.47167147987395,71.58501153534702,146606.1036243907,71.58501153534702,0.0,0.0,0.0,0,[],0.9999929118430225,0.0,4,3.973333333333333,8804352,4299,60.054471009999816,A_N4_r6,A,4,6,60.0
4271,4271,55.317328000001,68.5988609998276,78.41448959979972,71.10533767867285,145623.731565922,71.10533767867285,0.0,0.0,0.0,0,[],0.9999879945136572,0.0,4,3.973333333333333,8747008,4271,60.06581417699999,A_N4_r7,A,4,7,60.0
4278,4278,55.150716999833094,68.55917720022258,78.89671879003797,71.23886210090551,145897.18958265448,71.23886210090551,0.0,0.0,0.0,0,[],0.9999849193183532,0.0,4,3.973333333333333,8761344,4278,60.05149259600012,A_N4_r8,A,4,8,60.0
4291,4291,55.14232899986382,68.47643450009855,78.71495470003539,71.44626129523515,146321.94313264158,71.44626129523515,0.0,0.0,0.0,0,[],0.9999863682763831,0.0,4,3.973333333333333,8787968,4291,60.05912586900013,A_N4_r9,A,4,9,60.0
4278,4278,55.23646749998079,67.97984500003622,79.2583158599199,71.2341288453323,145887.49587524054,71.2341288453323,0.0,0.0,0.0,0,[],0.9999875420129222,0.0,4,3.973333333333333,8761344,4278,60.05548280499988,A_N4_r10,A,4,10,60.0
7028,7028,65.55212400007804,91.85907010014488,104.03688682996743,116.95355739484322,239520.8855446389,116.95355739484322,0.0,0.0,0.0,0,[],0.9998736817148453,0.0,8,7.946666666666666,14393344,7028,60.092229398999734,A_N8_r1,A,8,1,60.0
6766,6766,67.04067899977417,99.12943274991903,118.76209465017385,112.53238323984982,230466.32087521243,112.53238323984982,0.0,0.0,0.0,0,[],0.9999707296376137,0.0,8,7.923588039867109,13856768,6766,60.12491520399999,A_N8_r2,A,8,2,60.0
6618,6618,68.6395759998959,101.80201445011788,121.45511710990829,110.14890809655755,225584.96378174986,110.14890809655755,0.0,0.0,0.0,0,[],0.9998689607335131,0.0,8,7.923588039867109,13553664,6618,60.082302351999715,A_N8_r3,A,8,3,60.0
6100,6100,77.43120749978516,102.7255299499302,114.80738746003227,101.55937362319347,207993.59718030022,101.55937362319347,0.0,0.0,0.0,0,[],0.9999527031239587,0.0,8,7.946666666666666,12492800,6100,60.06338737999977,A_N8_r4,A,8,4,60.0
6150,6150,76.69224649998796,102.31113434999769,114.44149399003437,102.35240047937168,209617.7161817532,102.35240047937168,0.0,0.0,0.0,0,[],0.9999671106065016,0.0,8,7.946666666666666,12595200,6150,60.08652431399969,A_N8_r5,A,8,5,60.0
6130,6130,76.88691049997942,102.54687579977144,116.08641187001012,102.02408414576088,208945.32433051828,102.02408414576088,0.0,0.0,0.0,0,[],0.9999413503845116,0.0,8,7.946666666666666,12554240,6130,60.08385227200006,A_N8_r6,A,8,6,60.0
6098,6098,77.40314850025243,102.6506204004363,116.72361292965432,101.51909161704965,207911.0996317177,101.51909161704965,0.0,0.0,0.0,0,[],0.9999463261947531,0.0,8,7.946666666666666,12488704,6098,60.06751934899967,A_N8_r7,A,8,7,60.0
6140,6140,76.2262260004718,102.570262800009,115.39381086007778,102.20434416552922,209314.49685100385,102.20434416552922,0.0,0.0,0.0,0,[],0.9999393133839876,0.0,8,7.946666666666666,12574720,6140,60.07572427700052,A_N8_r8,A,8,8,60.0
6105,6105,77.52181300020311,102.32267339997634,115.61506859990914,101.63138816146196,208141.0829546741,101.63138816146196,0.0,0.0,0.0,0,[],0.9999105283095404,0.0,8,7.94,12503040,6105,60.070024728000135,A_N8_r9,A,8,9,60.0
6182,6182,75.20330950001153,102.84666670036131,115.85133512931858,102.91786123919451,210775.77981787035,102.91786123919451,0.0,0.0,0.0,0,[],0.9999527982574499,0.0,8,7.946666666666666,12660736,6182,60.06731898200087,A_N8_r10,A,8,10,60.0
8706,8706,108.52338399990913,134.79436774969145,149.63796970027954,144.84259664630167,296637.6379316258,144.84259664630167,0.0,0.0,0.0,0,[],0.9999738773928308,0.0,16,15.892976588628763,17829888,8706,60.10662748100003,A_N16_r1,A,16,1,60.0
8546,8546,110.65970799973002,138.66321550017346,155.1514890503311,142.14866959646665,291120.4753335637,142.14866959646665,0.0,0.0,0.0,0,[],0.9999654420028085,0.0,16,15.88628762541806,17502208,8546,60.120154654000544,A_N16_r2,A,16,2,60.0
8512,8512,110.95012850000785,138.43999240011726,154.6521890504754,141.623477845592,290044.8826277724,141.623477845592,0.0,0.0,0.0,0,[],0.9999651101833659,0.0,16,15.892976588628763,17432576,8512,60.10302902800049,A_N16_r3,A,16,3,60.0
8503,8503,111.29612600052496,138.47370869962103,153.54225910017703,141.49870721569872,289789.35237775097,141.49870721569872,0.0,0.0,0.0,0,[],0.9999743440315172,0.0,16,15.88628762541806,17414144,8503,60.09242181300033,A_N16_r4,A,16,4,60.0
8482,8482,111.37042299969835,138.9684975000364,156.02923102982467,141.10872501841502,288990.66883771395,141.10872501841502,0.0,0.0,0.0,0,[],0.9999876016773652,0.0,16,15.88628762541806,17371136,8482,60.10967783099932,A_N16_r5,A,16,5,60.0
8471,8471,111.6545570002927,139.54572249986086,155.09284639992984,140.9187986620813,288601.6996599425,140.9187986620813,0.0,0.0,0.0,0,[],0.9999505165674601,0.0,16,15.892976588628763,17348608,8471,60.11263280999992,A_N16_r6,A,16,6,60.0
8335,8335,111.11960199923487,155.1401338998402,189.7155834201294,138.63565899059168,283925.82961273176,138.63565899059168,0.0,0.0,0.0,0,[],0.99993345984838,0.0,16,15.892976588628763,17070080,8335,60.12161705500057,A_N16_r7,A,16,7,60.0
8460,8460,111.24764050009617,141.7370088506231,166.47242307961275,140.7317110925088,288218.544317458,140.7317110925088,0.0,0.0,0.0,0,[],0.9999546209305258,0.0,16,15.876254180602007,17326080,8460,60.11438313600047,A_N16_r8,A,16,8,60.0
8450,8450,111.69264999989537,140.29741409981398,156.80861244033628,140.54887557157713,287844.09717058996,140.54887557157713,0.0,0.0,0.0,0,[],0.9999830260925371,0.0,16,15.852842809364548,17305600,8450,60.121434381000654,A_N16_r9,A,16,9,60.0
8477,8477,111.41089699958684,139.5314507997682,154.98458891990592,141.04104899734514,288852.06834656285,141.04104899734514,0.0,0.0,0.0,0,[],0.9999682863531627,0.0,16,15.842809364548495,17360896,8477,60.10306971099999,A_N16_r10,A,16,10,60.0
7189,7187,176.91662300057942,847.3361559001204,1585.0201558996382,119.3001411745608,244258.71675406487,119.26695154007074,0.0,0.0,0.0,0,[],0.9684906506743083,0.0,32,31.70383275261324,14718976,7187,60.259777811000276,A_N32_r1,A,32,1,60.0
7161,7160,175.712008499886,849.7719041496993,1696.8014287400179,118.81299724286268,243295.03859938844,118.79640556610764,0.0,0.0,0.0,0,[],0.9830662610161962,0.0,32,31.727272727272727,14663680,7160,60.27118384499954,A_N32_r2,A,32,2,60.0
