size_bits,thr_mean_bps
8,19.930938222711394
1024,1271.8026147098983
2048,1697.6020858312263
3072,1910.7195400699227
4096,2039.0384871065835
5120,2121.9358574823545
6144,2185.0578032431104
7168,2230.6835357788937
8192,2264.6338396012547
9216,2294.013180780326
10240,2274.379420857705
11264,2288.32968447368
12288,2309.1222991285435
13312,2326.373390671038
14336,2339.3771678771664
15360,2351.5871403112055
16384,2361.4912622110523
17408,2371.2522792842897
18432,2374.916584984666
19456,2382.2427476438525
20480,2317.1539857682715
21504,2319.483359520194
22528,2314.0134662913197
23552,2317.6820527987034
24576,2325.62912391401
25600,2327.3552349887127
26624,2325.142754630344
27648,2325.392417020682
