size_bits,time_mean_s,time_ci95_lo_s,time_ci95_hi_s
8,0.40140585776662185,0.40044646657571925,0.4025064979876637
1024,0.8051761805335749,0.8037647574946731,0.8066993657591927
2048,1.2064164757997786,1.2052482144523644,1.2075991713213232
3072,1.6077771592999246,1.6067029461497107,1.6088907345097079
4096,2.008793438033778,2.007834056892219,2.0097511873186282
5120,2.41290075383331,2.411222737978481,2.4146898173696023
6144,2.8118363787998533,2.809783608605297,2.813789772248935
7168,3.2133700043331674,3.2119672314904557,3.2149063233582846
8192,3.6173672990333823,3.615753848829945,3.618922284992265
9216,4.017418412433229,4.015827464017256,4.018978833965499
10240,4.50270719320021,4.485911894395537,4.516709741058873
11264,4.922374378599488,4.92027169899486,4.924348732080052
12288,5.32150589126674,5.3199680599217665,5.323007730864056
13312,5.722272728200066,5.714615195359669,5.727049775359388
14336,6.12812999839989,6.126526504068173,6.1297307445083185
15360,6.531761721099974,6.530122835314769,6.533224199072641
16384,6.938042315033696,6.933121955500683,6.945779082831447
17408,7.3415065501671055,7.3268213241872155,7.356395693071281
18432,7.761318608399961,7.748092911693444,7.776122316742267
19456,8.167348778366613,8.151236849506473,8.18440217777419
20480,8.838582540433466,8.824886363644419,8.85125681642584
21504,9.271241293966826,9.256082982240224,9.287779909073572
22528,9.73566828173316,9.719089870688903,9.750064673777807
23552,10.161912146499951,10.15415471529308,10.166633702656762
24576,10.567526921566847,10.557711293866852,10.577319498996863
25600,10.99980556090001,10.983566971328923,11.016769583787204
26624,11.450624050733131,11.434846781041589,11.46401683824971
27648,11.88975894723341,11.87545922270506,11.906191447520829
