ts_utc,rep,mode,api_url,key_id,entropy_bytes_len,entropy_sha256,t_seed_ms,t_kem_ms,t_total_ms,exit_code,error_code
2026-01-27T14:56:49.191974+00:00,1,baseline,,,0,,0.0,5.059,5.138,0,OK
2026-01-27T14:56:49.197392+00:00,2,baseline,,,0,,0.0,7.768,7.895,0,OK
2026-01-27T14:56:49.205560+00:00,3,baseline,,,0,,0.0,7.185,7.266,0,OK
2026-01-27T14:56:49.213009+00:00,4,baseline,,,0,,0.0,7.839,7.898,0,OK
2026-01-27T14:56:49.221147+00:00,5,baseline,,,0,,0.0,7.689,7.769,0,OK
2026-01-27T14:56:49.229156+00:00,6,baseline,,,0,,0.0,9.018,9.099,0,OK
2026-01-27T14:56:49.238460+00:00,7,baseline,,,0,,0.0,7.169,7.233,0,OK
2026-01-27T14:56:49.245897+00:00,8,baseline,,,0,,0.0,7.879,7.944,0,OK
2026-01-27T14:56:49.254077+00:00,9,baseline,,,0,,0.0,7.192,7.25,0,OK
2026-01-27T14:56:49.261507+00:00,10,baseline,,,0,,0.0,9.524,9.585,0,OK
2026-01-27T14:56:49.271336+00:00,11,baseline,,,0,,0.0,8.379,8.456,0,OK
2026-01-27T14:56:49.280046+00:00,12,baseline,,,0,,0.0,7.493,7.573,0,OK
2026-01-27T14:56:49.287799+00:00,13,baseline,,,0,,0.0,9.242,9.302,0,OK
2026-01-27T14:56:49.297343+00:00,14,baseline,,,0,,0.0,6.873,6.911,0,OK
2026-01-27T14:56:49.304433+00:00,15,baseline,,,0,,0.0,7.436,7.496,0,OK
2026-01-27T14:56:49.312176+00:00,16,baseline,,,0,,0.0,7.475,7.563,0,OK
2026-01-27T14:56:49.319976+00:00,17,baseline,,,0,,0.0,7.889,7.97,0,OK
2026-01-27T14:56:49.328196+00:00,18,baseline,,,0,,0.0,6.723,6.806,0,OK
2026-01-27T14:56:49.335236+00:00,19,baseline,,,0,,0.0,8.837,8.919,0,OK
2026-01-27T14:56:49.344402+00:00,20,baseline,,,0,,0.0,7.671,7.752,0,OK
2026-01-27T14:56:49.352394+00:00,21,baseline,,,0,,0.0,8.386,8.468,0,OK
2026-01-27T14:56:49.361110+00:00,22,baseline,,,0,,0.0,8.783,8.866,0,OK
2026-01-27T14:56:49.370204+00:00,23,baseline,,,0,,0.0,7.773,7.845,0,OK
2026-01-27T14:56:49.378262+00:00,24,baseline,,,0,,0.0,8.91,8.975,0,OK
2026-01-27T14:56:49.387462+00:00,25,baseline,,,0,,0.0,8.227,8.284,0,OK
2026-01-27T14:56:49.395926+00:00,26,baseline,,,0,,0.0,8.312,8.387,0,OK
2026-01-27T14:56:49.404543+00:00,27,baseline,,,0,,0.0,9.645,9.728,0,OK
2026-01-27T14:56:49.414494+00:00,28,baseline,,,0,,0.0,7.623,7.719,0,OK
2026-01-27T14:56:49.422463+00:00,29,baseline,,,0,,0.0,9.36,9.44,0,OK
2026-01-27T14:56:49.432086+00:00,30,baseline,,,0,,0.0,8.297,8.359,0,OK
2026-01-27T14:56:49.440679+00:00,31,baseline,,,0,,0.0,8.729,8.788,0,OK
2026-01-27T14:56:49.449689+00:00,32,baseline,,,0,,0.0,3.866,3.924,0,OK
2026-01-27T14:56:49.453787+00:00,33,baseline,,,0,,0.0,3.771,3.828,0,OK
2026-01-27T14:56:49.457802+00:00,34,baseline,,,0,,0.0,8.343,8.424,0,OK
