		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  264  239  253  241  254  256  241  250  3.358091 0.909920 SUCCESS   0
000000011  245  253  231  245  250  229  255  255  3.187565 0.922041 SUCCESS   1
000000101  276  218  221  254  273  248  229  244 14.440163 0.070990 SUCCESS   2
000000111  234  254  217  251  237  224  246  245  6.114045 0.634459 SUCCESS   3
000001001  226  242  243  266  257  224  218  248  8.817041 0.357965 SUCCESS   4
000001011  241  236  251  244  245  250  248  261  1.940925 0.982770 SUCCESS   5
000001101  248  248  242  238  226  258  257  231  3.944870 0.862063 SUCCESS   6
000001111  252  259  240  256  245  216  255  211 10.374018 0.239750 SUCCESS   7
000010001  278  267  238  219  238  245  245  237 10.292462 0.245096 SUCCESS   8
000010011  224  267  234  254  244  227  261  275 11.267955 0.186974 SUCCESS   9
000010101  265  234  224  251  249  215  232  244  8.514119 0.384925 SUCCESS  10
000010111  266  260  229  249  253  239  224  248  6.389429 0.603697 SUCCESS  11
000011001  237  227  241  249  241  207  253  207 13.653201 0.091265 SUCCESS  12
000011011  260  248  246  240  215  232  285  226 13.905283 0.084268 SUCCESS  13
000011101  227  259  204  256  228  246  246  271 13.789834 0.087410 SUCCESS  14
000011111  230  242  242  223  211  238  247  232  8.239795 0.410404 SUCCESS  15
000100011  243  230  244  236  217  248  254  238  4.883293 0.769974 SUCCESS  16
000100101  258  256  227  233  269  272  246  237  9.323323 0.315759 SUCCESS  17
000100111  224  234  241  254  234  234  228  285 11.653492 0.167347 SUCCESS  18
000101001  252  282  255  242  252  259  248  240  8.196369 0.414527 SUCCESS  19
000101011  237  251  234  249  239  211  248  247  5.809005 0.668616 SUCCESS  20
000101101  231  213  238  246  235  272  261  257 10.561490 0.227804 SUCCESS  21
000101111  247  249  245  272  259  238  246  232  5.165031 0.739801 SUCCESS  22
000110011  250  247  245  269  247  210  251  242  7.994068 0.434050 SUCCESS  23
000110101  253  261  261  244  226  242  228  223  7.149911 0.520548 SUCCESS  24
000110111  253  254  242  228  241  240  277  253  6.893593 0.548156 SUCCESS  25
000111001  268  258  234  228  277  259  234  263 12.226502 0.141380 SUCCESS  26
000111011  233  253  224  252  234  229  241  265  6.127815 0.632917 SUCCESS  27
000111101  258  251  219  242  246  235  241  236  4.398194 0.819530 SUCCESS  28
000111111  215  224  228  231  251  244  245  244  7.344798 0.499929 SUCCESS  29
001000011  234  250  229  207  259  263  243  235 10.193959 0.251676 SUCCESS  30
001000101  252  273  240  218  248  249  277  207 17.341223 0.026746 SUCCESS  31
001000111  233  239  257  250  214  257  257  246  6.748487 0.563996 SUCCESS  32
001001011  249  263  237  244  263  248  256  241  4.037018 0.853768 SUCCESS  33
001001101  251  249  246  261  239  234  258  241  2.924892 0.938982 SUCCESS  34
001001111  236  248  219  241  239  256  230  256  5.210575 0.734851 SUCCESS  35
001010011  261  261  243  224  271  256  238  252  8.213316 0.412915 SUCCESS  36
001010101  272  248  256  246  254  223  228  234  7.807655 0.452481 SUCCESS  37
001010111  242  235  273  251  230  225  249  244  6.600203 0.580316 SUCCESS  38
001011011  233  243  261  270  247  276  252  245  9.178218 0.327486 SUCCESS  39
001011101  239  229  217  240  255  249  218  235  8.115872 0.422234 SUCCESS  40
001011111  238  236  245  241  247  251  242  238  0.896585 0.998821 SUCCESS  41
001100101  246  244  251  212  253  241  238  242  5.140670 0.742441 SUCCESS  42
001100111  221  231  250  247  260  195  255  247 15.004699 0.059054 SUCCESS  43
001101011  260  237  282  240  218  231  215  253 14.981397 0.059508 SUCCESS  44
001101101  249  256  268  255  262  238  248  248  5.254001 0.730115 SUCCESS  45
001101111  241  252  233  238  241  247  277  256  6.240086 0.620358 SUCCESS  46
001110101  226  225  243  241  270  233  240  243  6.426500 0.599571 SUCCESS  47
001110111  259  239  234  268  227  234  254  253  6.321642 0.611252 SUCCESS  48
001111011  235  238  218  240  247  239  236  241  3.942752 0.862251 SUCCESS  49
001111101  257  243  206  263  231  260  232  259 11.732930 0.163524 SUCCESS  50
001111111  252  220  242  229  245  254  246  267  6.365068 0.606410 SUCCESS  51
010000011  234  266  238  259  252  251  223  236  6.191365 0.625806 SUCCESS  52
010000111  253  252  222  227  274  252  240  248  8.092571 0.424480 SUCCESS  53
010001011  244  249  263  236  235  241  264  215  7.551336 0.478476 SUCCESS  54
010001111  227  218  247  266  223  260  248  239  9.329678 0.315252 SUCCESS  55
